ID,Name,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position
546,Dates Pre Packed 250gm,,2.99,Fruits > Stonefruit &amp; Tropical,,,http://localhost/vege-star/wp-content/uploads/2021/05/CE4FF498-15CA-4679-B0B6-82AA48E7B36C.jpeg,,,,,,,,,0
547,Dates Pre Packed 500gm,,5.79,Uncategorized,,,http://localhost/vege-star/wp-content/uploads/2021/05/CE4FF498-15CA-4679-B0B6-82AA48E7B36C.jpeg,,,,,,,,,0
548,Capsicum Orange - Each (Copy),,1.5,Vegetables > Greens &amp; Others,,,http://localhost/vege-star/wp-content/uploads/2021/05/orange-capsicum.jpg,,,,,,,,,0
549,Onion Red 5kg Bag,,8,"Vegetables > Potatoes\, Onions\, Pumpkins",,,http://localhost/vege-star/wp-content/uploads/2021/05/11_onion_bag_red_big_6.jpg,,,,,,,,,0
550,Kale Green (400gm bag),,4,Vegetables > Salad Mixes &amp; Lettuce,,,http://localhost/vege-star/wp-content/uploads/2021/05/2D6B4D65-C07D-4F1D-9015-161E97F4437C.jpeg,,,,,,,,,0
551,Curry leaves - pack (50gm),,,Uncategorized,,,,,,,,,,,,0
552,Curry Leaves -packet (50gm),,1.99,"Vegetables > Herbs\, Sprouts and Chillies",,,http://localhost/vege-star/wp-content/uploads/2021/05/4A0BADAF-3185-4BCC-9E9D-36B06B85940C.jpeg,,,,,,,,,0
553,Turnip NZ  - Each,,2.5,Vegetables > Salad Mixes &amp; Lettuce,,,http://localhost/vege-star/wp-content/uploads/2021/05/88CBFE75-A02C-45B6-B8D1-C88FA748D72C.jpeg,,,,,,,,,0
554,Choy Sum Bunch - Each (ਸਾਗ),,2.5,Vegetables > Greens &amp; Others,,,http://localhost/vege-star/wp-content/uploads/2021/05/B34EB793-FCFA-45EC-99E3-A28BBBFCE3D0.jpeg,,,,,,,,,0
555,Fenugreek leaves bunch - Each (ਮੇਥੇ),,2.5,Vegetables > Greens &amp; Others,,,http://localhost/vege-star/wp-content/uploads/2021/05/14B3E6D8-AA71-4161-8A96-676F4B95ECFB.jpeg,,,,,,,,,0
556,Bread - White Toast,,1.5,Dairy,,,http://localhost/vege-star/wp-content/uploads/2021/05/bread.png,,,,,,,,,0
557,Bread - Wheatmeal,,1.5,Dairy,,,http://localhost/vege-star/wp-content/uploads/2021/05/bread-1.png,,,,,,,,,0
574,Celeriac - Per Kg,,5.49,"Vegetables > Potatoes\, Onions\, Pumpkins",,,http://localhost/vege-star/wp-content/uploads/2021/05/A0A034AE-16EF-4E0E-BC24-312CC0C049C4.jpeg,,,,,,,,,0
575,Coconut -Each,,2.99,"Vegetables > Herbs\, Sprouts and Chillies, Vegetables > Potatoes\, Onions\, Pumpkins",,,http://localhost/vege-star/wp-content/uploads/2021/05/3BF339DB-9881-4BBD-9A70-ABF55DEFF5FD.jpeg,,,,,,,,,0
576,Rosemary (50gm bag),,2.5,"Vegetables > Herbs\, Sprouts and Chillies",,,http://localhost/vege-star/wp-content/uploads/2021/05/CB24769F-3964-4A59-95FF-393C042D945B.jpeg,,,,,,,,,0
577,Watercress - Hydroponic - Bag,,5,Vegetables > Greens &amp; Others,,,http://localhost/vege-star/wp-content/uploads/2021/05/Screen-Shot-2020-11-12-at-5.58.53-PM.png,,,,,,,,,0
578,Celery Sticks Tray,,2,Vegetables > Greens &amp; Others,,,http://localhost/vege-star/wp-content/uploads/2021/05/Screen-Shot-2020-11-12-at-6.14.05-PM.png,,,,,,,,,0
579,Potatoes - Agria - 2kg bag,,5,"Vegetables > Potatoes\, Onions\, Pumpkins",,,http://localhost/vege-star/wp-content/uploads/2021/05/potato.jpg,,,,,,,,,0
580,Potatoes - Agria - 3kg bag,,7,"Vegetables > Potatoes\, Onions\, Pumpkins",,,http://localhost/vege-star/wp-content/uploads/2021/05/potato.jpg,,,,,,,,,0
581,Onion - Brown - 2kg bag,,4,"Vegetables > Potatoes\, Onions\, Pumpkins",,,http://localhost/vege-star/wp-content/uploads/2021/05/onions-brown-vegetables_512x.jpg,,,,,,,,,0
582,Onion - Brown - 1kg bag,,2,"Vegetables > Potatoes\, Onions\, Pumpkins",,,http://localhost/vege-star/wp-content/uploads/2021/05/pickling-onion-350x232-1.jpg,,,,,,,,,0
583,Peas - 500gm bag,,,Uncategorized,,,,,,,,,,,,0
584,Oranges Aussie Per kg,,4.95,Fruits > Citrus,,,http://localhost/vege-star/wp-content/uploads/2021/05/usa-orange.jpg,,,,,,,,,0
585,Tomato 1kg Bag,,5,Vegetables > Greens &amp; Others,,,http://localhost/vege-star/wp-content/uploads/2021/05/tomatoes-roma-fruit_512x.jpg,,,,,,,,,0
